Million_Plus_Cities,Age_band_of_driver,Accident_severity,Cause_of_accident,Vehicle Type Involved,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Latitude,Longitude,Time_Block
Raipur,18-30,Low Risk,No distancing,Auto-Rickshaw,Foggy,Village Road,Dry,Daylight,20.5937,78.9629,Morning
Raipur,18-30,Medium Risk,Changing lane to the right,Truck,Rainy,State Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Raipur,18-30,Medium Risk,Moving Backward,Auto-Rickshaw,Clear,National Highway,Damaged,Daylight,20.5937,78.9629,Morning
Raipur,18-30,Medium Risk,No distancing,Auto-Rickshaw,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Bengaluru,18-30,Medium Risk,Driving to the left,Auto-Rickshaw,Clear,Highways,Normal,Dawn,12.9716,77.5946,Morning
Raipur,18-30,Low Risk,Driving to the left,Cycle,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Raipur,31-50,Low Risk,Moving Backward,Pedestrian,Stormy,Highways,Normal,Dark,20.5937,78.9629,Morning
Raipur,18-30,Medium Risk,Moving Backward,Auto-Rickshaw,Rainy,Village Road,Damaged,Dawn,20.5937,78.9629,Morning
Raipur,18-30,Low Risk,Overtaking,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Lucknow,18-30,Low Risk,Driving carelessly,Car,Clear,Highways,Normal,Daylight,26.8467,80.9462,Morning
Raipur,31-50,Low Risk,Changing lane to the left,Bus,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Raipur,18-30,Low Risk,Driving under the influence of drugs,Car,Hazy,Village Road,Wet,Dark,20.5937,78.9629,Afternoon
Raipur,31-50,Low Risk,No distancing,Auto-Rickshaw,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Evening
Rajkot,18-30,Low Risk,Moving Backward,Truck,Clear,National Highway,Dry,Dawn,20.5937,78.9629,Afternoon
Rajkot,31-50,Low Risk,Changing lane to the left,Pedestrian,Clear,Village Road,Dry,Dusk,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Dawn,20.5937,78.9629,Afternoon
Rajkot,18-30,Low Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,Driving at high speed,Truck,Stormy,State Highway,Damaged,Daylight,20.5937,78.9629,Afternoon
Rajkot,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Afternoon
Kanpur,31-50,Low Risk,No priority to vehicle,Bus,Clear,Highways,Normal,Dawn,26.4499,80.3319,Night
Rajkot,31-50,Medium Risk,No distancing,Car,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Rajkot,18-30,Medium Risk,Turnover,Car,Stormy,National Highway,Dry,Daylight,20.5937,78.9629,Evening
Rajkot,31-50,Low Risk,No distancing,Pedestrian,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,Changing lane to the right,Car,Clear,State Highway,Damaged,Dusk,20.5937,78.9629,Night
Rajkot,50+,Low Risk,No distancing,Car,Stormy,Urban Road,Under Construction,Daylight,20.5937,78.9629,Evening
Rajkot,18-30,Medium Risk,Changing lane to the left,Two-Wheeler,Stormy,National Highway,Dry,Daylight,20.5937,78.9629,Night
Rajkot,31-50,Low Risk,Driving carelessly,Bus,Foggy,Highways,Normal,Dusk,20.5937,78.9629,Night
Bengaluru,50+,Low Risk,Changing lane to the right,Auto-Rickshaw,Foggy,Highways,Normal,Daylight,12.9716,77.5946,Morning
Rajkot,31-50,Medium Risk,No priority to vehicle,Cycle,Clear,State Highway,Under Construction,Dark,20.5937,78.9629,Morning
Rajkot,31-50,Low Risk,No distancing,Auto-Rickshaw,Hazy,National Highway,Damaged,Dawn,20.5937,78.9629,Morning
Rajkot,31-50,Low Risk,No priority to pedestrian,Two-Wheeler,Clear,National Highway,Damaged,Daylight,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,No priority to pedestrian,Cycle,Hazy,National Highway,Wet,Daylight,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,No priority to vehicle,Pedestrian,Clear,National Highway,Damaged,Dusk,20.5937,78.9629,Evening
Rajkot,18-30,Low Risk,Changing lane to the left,Car,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Night
Rajkot,31-50,Low Risk,Changing lane to the left,Car,Clear,Urban Road,Damaged,Dusk,20.5937,78.9629,Evening
Rajkot,18-30,Low Risk,No distancing,Car,Clear,State Highway,Wet,Dark,20.5937,78.9629,Morning
Rajkot,31-50,Low Risk,No priority to vehicle,Pedestrian,Foggy,Urban Road,Under Construction,Dusk,20.5937,78.9629,Morning
Rajkot,18-30,Low Risk,No distancing,Pedestrian,Clear,State Highway,Dry,Dawn,20.5937,78.9629,Morning
Rajkot,31-50,Low Risk,No distancing,Two-Wheeler,Stormy,Highways,Normal,Dark,20.5937,78.9629,Night
Varanasi,18-30,Low Risk,Changing lane to the right,Pedestrian,Clear,Highways,Normal,Daylight,25.3176,82.9739,Morning
Rajkot,18-30,Low Risk,Changing lane to the left,Truck,Hazy,Village Road,Damaged,Dusk,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Rajkot,18-30,Low Risk,Overturning,Two-Wheeler,Hazy,State Highway,Under Construction,Dawn,20.5937,78.9629,Evening
Srinagar,18-30,Low Risk,No priority to vehicle,Car,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Srinagar,18-30,Low Risk,Moving Backward,Auto-Rickshaw,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Srinagar,31-50,Low Risk,Driving under the influence of drugs,Two-Wheeler,Clear,Village Road,Under Construction,Daylight,20.5937,78.9629,Night
Srinagar,31-50,Low Risk,Moving Backward,Auto-Rickshaw,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Srinagar,50+,Low Risk,Changing lane to the right,Car,Clear,Urban Road,Under Construction,Daylight,20.5937,78.9629,Evening
Srinagar,31-50,Low Risk,Overspeed,Pedestrian,Clear,National Highway,Damaged,Dusk,20.5937,78.9629,Afternoon
Srinagar,18-30,Low Risk,Driving under the influence of drugs,Car,Rainy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Srinagar,18-30,Low Risk,Driving carelessly,Two-Wheeler,Clear,Urban Road,Dry,Dark,20.5937,78.9629,Night
Srinagar,18-30,Low Risk,No distancing,Auto-Rickshaw,Stormy,Urban Road,Normal,Dawn,20.5937,78.9629,Morning
Srinagar,31-50,Low Risk,No priority to vehicle,Auto-Rickshaw,Clear,National Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Meerut,18-30,Medium Risk,Overspeed,Cycle,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Srinagar,18-30,Low Risk,Driving under the influence of drugs,Car,Clear,Village Road,Damaged,Dark,20.5937,78.9629,Morning
Delhi,50+,Low Risk,Changing lane to the right,Bus,Clear,Highways,Normal,Dark,28.6139,77.209,Afternoon
Srinagar,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Foggy,Village Road,Dry,Daylight,20.5937,78.9629,Morning
Raipur,18-30,Low Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Srinagar,31-50,Medium Risk,Changing lane to the right,Auto-Rickshaw,Clear,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Srinagar,31-50,Low Risk,Moving Backward,Pedestrian,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Srinagar,18-30,Low Risk,No distancing,Two-Wheeler,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Night
Srinagar,50+,Low Risk,Overspeed,Car,Clear,Urban Road,Damaged,Dawn,20.5937,78.9629,Night
Srinagar,18-30,Low Risk,No distancing,Bus,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Night
Srinagar,50+,Low Risk,Driving carelessly,Car,Hazy,National Highway,Damaged,Daylight,20.5937,78.9629,Afternoon
Srinagar,31-50,Low Risk,No distancing,Two-Wheeler,Stormy,Village Road,Wet,Dark,20.5937,78.9629,Afternoon
Srinagar,31-50,Low Risk,No distancing,Truck,Clear,National Highway,Under Construction,Dark,20.5937,78.9629,Night
Srinagar,31-50,Low Risk,No distancing,Cycle,Stormy,Village Road,Wet,Dark,20.5937,78.9629,Evening
Delhi,18-30,Low Risk,Changing lane to the right,Two-Wheeler,Clear,Highways,Normal,Daylight,28.6139,77.209,Morning
Srinagar,18-30,Low Risk,No distancing,Auto-Rickshaw,Clear,National Highway,Wet,Dark,20.5937,78.9629,Evening
Srinagar,18-30,Low Risk,No priority to vehicle,Car,Clear,National Highway,Normal,Daylight,20.5937,78.9629,Night
Srinagar,18-30,Low Risk,Changing lane to the left,Truck,Foggy,National Highway,Damaged,Daylight,20.5937,78.9629,Morning
Srinagar,18-30,Low Risk,Moving Backward,Car,Clear,Village Road,Under Construction,Dark,20.5937,78.9629,Evening
Bhopal,18-30,Low Risk,Driving carelessly,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Surat,18-30,Low Risk,Changing lane to the left,Car,Clear,Highways,Normal,Daylight,21.1702,72.8311,Night
Surat,31-50,Low Risk,No priority to pedestrian,Car,Foggy,Highways,Normal,Dusk,21.1702,72.8311,Night
Surat,18-30,Low Risk,No distancing,Pedestrian,Stormy,State Highway,Wet,Daylight,21.1702,72.8311,Afternoon
Surat,50+,Low Risk,No distancing,Bus,Clear,Village Road,Damaged,Dusk,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Overturning,Car,Clear,Urban Road,Damaged,Daylight,21.1702,72.8311,Morning
Surat,18-30,Medium Risk,No distancing,Car,Clear,National Highway,Damaged,Dawn,21.1702,72.8311,Afternoon
Surat,18-30,Low Risk,Drunk driving,Bus,Foggy,National Highway,Damaged,Dark,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Moving Backward,Cycle,Hazy,National Highway,Wet,Dark,21.1702,72.8311,Night
Surat,18-30,Low Risk,No priority to pedestrian,Pedestrian,Stormy,National Highway,Under Construction,Dusk,21.1702,72.8311,Night
Surat,18-30,Low Risk,Changing lane to the left,Auto-Rickshaw,Clear,Urban Road,Damaged,Dark,21.1702,72.8311,Night
Surat,18-30,Low Risk,Changing lane to the left,Car,Clear,Village Road,Damaged,Dawn,21.1702,72.8311,Morning
Surat,18-30,Medium Risk,Getting off the vehicle improperly,Cycle,Hazy,Highways,Normal,Dusk,21.1702,72.8311,Morning
Surat,18-30,Medium Risk,No distancing,Auto-Rickshaw,Foggy,Highways,Normal,Dawn,21.1702,72.8311,Afternoon
Surat,18-30,Low Risk,Changing lane to the right,Pedestrian,Clear,Urban Road,Wet,Daylight,21.1702,72.8311,Afternoon
Surat,31-50,Low Risk,Changing lane to the right,Truck,Clear,State Highway,Wet,Dusk,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Moving Backward,Truck,Clear,Highways,Normal,Daylight,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Driving at high speed,Car,Rainy,Urban Road,Dry,Daylight,21.1702,72.8311,Afternoon
Surat,31-50,Low Risk,Changing lane to the left,Bus,Hazy,Urban Road,Damaged,Daylight,21.1702,72.8311,Night
Surat,18-30,Low Risk,Changing lane to the right,Two-Wheeler,Clear,National Highway,Damaged,Dusk,21.1702,72.8311,Morning
Surat,18-30,Low Risk,No distancing,Car,Stormy,Urban Road,Damaged,Dusk,21.1702,72.8311,Night
Dhanbad,18-30,Low Risk,Changing lane to the right,Two-Wheeler,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Night
Surat,18-30,Low Risk,Changing lane to the right,Cycle,Clear,State Highway,Under Construction,Dark,21.1702,72.8311,Morning
Surat,31-50,Low Risk,No distancing,Pedestrian,Clear,State Highway,Wet,Dusk,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Changing lane to the right,Car,Clear,Village Road,Damaged,Dawn,21.1702,72.8311,Morning
Jabalpur,18-30,Low Risk,Driving carelessly,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Surat,18-30,Low Risk,Driving carelessly,Two-Wheeler,Foggy,State Highway,Normal,Daylight,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Changing lane to the right,Cycle,Foggy,National Highway,Damaged,Dusk,21.1702,72.8311,Morning
Surat,50+,Low Risk,Overturning,Truck,Clear,Village Road,Damaged,Daylight,21.1702,72.8311,Morning
Surat,18-30,Low Risk,Changing lane to the right,Pedestrian,Clear,Urban Road,Dry,Dark,21.1702,72.8311,Morning
Surat,31-50,Low Risk,Moving Backward,Car,Stormy,Highways,Normal,Daylight,21.1702,72.8311,Evening
Thiruvanthapuram,18-30,Low Risk,No distancing,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Thiruvanthapuram,50+,Low Risk,Overturning,Truck,Hazy,Urban Road,Under Construction,Dark,20.5937,78.9629,Night
Thiruvanthapuram,31-50,Low Risk,Driving carelessly,Auto-Rickshaw,Stormy,State Highway,Wet,Dawn,20.5937,78.9629,Night
Thiruvanthapuram,50+,Low Risk,Changing lane to the right,Car,Rainy,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Thiruvanthapuram,18-30,Low Risk,Driving at high speed,Car,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Evening
Thiruvanthapuram,31-50,Low Risk,Changing lane to the left,Car,Clear,National Highway,Under Construction,Dawn,20.5937,78.9629,Morning
Bengaluru,18-30,Medium Risk,Driving carelessly,Bus,Clear,Highways,Normal,Dark,12.9716,77.5946,Night
Thiruvanthapuram,31-50,Low Risk,No distancing,Two-Wheeler,Clear,State Highway,Under Construction,Dusk,20.5937,78.9629,Afternoon
Vijaywada city,18-30,Low Risk,Moving Backward,Auto-Rickshaw,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Thiruvanthapuram,18-30,Low Risk,No priority to pedestrian,Auto-Rickshaw,Clear,Urban Road,Wet,Dark,20.5937,78.9629,Morning
Thiruvanthapuram,18-30,Low Risk,Moving Backward,Truck,Foggy,Village Road,Damaged,Daylight,20.5937,78.9629,Evening
Thiruvanthapuram,18-30,Low Risk,Changing lane to the right,Cycle,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Night
Thiruvanthapuram,18-30,Low Risk,No distancing,Truck,Stormy,National Highway,Under Construction,Daylight,20.5937,78.9629,Afternoon
Thiruvanthapuram,18-30,Low Risk,Drunk driving,Truck,Stormy,State Highway,Dry,Dusk,20.5937,78.9629,Morning
Thiruvanthapuram,18-30,Low Risk,Changing lane to the right,Pedestrian,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Evening
Thiruvanthapuram,18-30,Medium Risk,Driving carelessly,Car,Clear,Urban Road,Normal,Dark,20.5937,78.9629,Afternoon
Thiruvanthapuram,18-30,Medium Risk,Driving to the left,Pedestrian,Clear,Highways,Normal,Dusk,20.5937,78.9629,Evening
Thiruvanthapuram,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Foggy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Thiruvanthapuram,18-30,Medium Risk,Changing lane to the right,Pedestrian,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Thiruvanthapuram,18-30,Low Risk,Driving carelessly,Two-Wheeler,Clear,Village Road,Damaged,Dawn,20.5937,78.9629,Afternoon
Khozikode,31-50,Low Risk,Changing lane to the left,Truck,Rainy,Highways,Normal,Dawn,20.5937,78.9629,Night
Thiruvanthapuram,50+,Low Risk,No priority to vehicle,Pedestrian,Clear,Village Road,Normal,Daylight,20.5937,78.9629,Evening
Thiruvanthapuram,31-50,Low Risk,Driving carelessly,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Thiruvanthapuram,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Foggy,Urban Road,Wet,Dawn,20.5937,78.9629,Evening
Thiruvanthapuram,31-50,Low Risk,Driving carelessly,Car,Hazy,Village Road,Dry,Dawn,20.5937,78.9629,Night
Thiruvanthapuram,50+,Medium Risk,Driving under the influence of drugs,Cycle,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Thiruvanthapuram,31-50,Low Risk,No distancing,Car,Foggy,Highways,Normal,Dark,20.5937,78.9629,Evening
Thiruvanthapuram,50+,Low Risk,Changing lane to the left,Car,Clear,Village Road,Damaged,Dark,20.5937,78.9629,Morning
Srinagar,31-50,Medium Risk,No priority to vehicle,Bus,Hazy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Thiruvanthapuram,18-30,Low Risk,Moving Backward,Pedestrian,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Morning
Thrissur,50+,Low Risk,Moving Backward,Two-Wheeler,Foggy,National Highway,Under Construction,Dawn,20.5937,78.9629,Night
Delhi,18-30,Medium Risk,No distancing,Car,Rainy,Highways,Normal,Daylight,28.6139,77.209,Afternoon
Thrissur,18-30,Low Risk,Changing lane to the right,Cycle,Foggy,Village Road,Wet,Dusk,20.5937,78.9629,Night
Thrissur,31-50,Low Risk,Changing lane to the right,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Thrissur,31-50,Low Risk,Moving Backward,Auto-Rickshaw,Rainy,Urban Road,Wet,Daylight,20.5937,78.9629,Afternoon
Thrissur,31-50,Low Risk,Driving carelessly,Car,Rainy,Urban Road,Dry,Dark,20.5937,78.9629,Morning
Thrissur,18-30,Medium Risk,Driving under the influence of drugs,Pedestrian,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Thrissur,31-50,Low Risk,No distancing,Bus,Clear,Village Road,Under Construction,Daylight,20.5937,78.9629,Afternoon
Thrissur,18-30,Low Risk,No distancing,Two-Wheeler,Stormy,Village Road,Under Construction,Daylight,20.5937,78.9629,Morning
Thrissur,31-50,Low Risk,No priority to vehicle,Car,Hazy,National Highway,Under Construction,Dark,20.5937,78.9629,Evening
Jabalpur,31-50,Medium Risk,Driving to the left,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Meerut,18-30,Low Risk,No priority to vehicle,Car,Hazy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Thrissur,18-30,Low Risk,No priority to vehicle,Auto-Rickshaw,Clear,Urban Road,Wet,Dark,20.5937,78.9629,Evening
Hyderabad,18-30,Medium Risk,No priority to vehicle,Cycle,Clear,Highways,Normal,Dark,17.385,78.4867,Afternoon
Indore,18-30,Low Risk,No distancing,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Thrissur,31-50,Low Risk,Moving Backward,Truck,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Afternoon
Hyderabad,31-50,Low Risk,Changing lane to the right,Truck,Clear,Highways,Normal,Dark,17.385,78.4867,Afternoon
Thrissur,18-30,Low Risk,Driving carelessly,Cycle,Rainy,National Highway,Dry,Dark,20.5937,78.9629,Night
Thrissur,31-50,Low Risk,Changing lane to the left,Cycle,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Thrissur,18-30,Low Risk,No distancing,Two-Wheeler,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Morning
Thrissur,18-30,Medium Risk,Changing lane to the right,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Thrissur,18-30,Medium Risk,Driving under the influence of drugs,Cycle,Foggy,Village Road,Dry,Dawn,20.5937,78.9629,Night
Thrissur,18-30,Low Risk,No distancing,Car,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Night
Thrissur,18-30,Low Risk,Overturning,Car,Stormy,National Highway,Wet,Daylight,20.5937,78.9629,Night
Thrissur,50+,Low Risk,No distancing,Two-Wheeler,Clear,National Highway,Wet,Dusk,20.5937,78.9629,Morning
Thrissur,31-50,Low Risk,Changing lane to the right,Pedestrian,Clear,State Highway,Wet,Dawn,20.5937,78.9629,Night
Thrissur,31-50,Low Risk,No priority to vehicle,Car,Foggy,Urban Road,Wet,Dawn,20.5937,78.9629,Afternoon
Thrissur,18-30,Medium Risk,Changing lane to the right,Pedestrian,Hazy,National Highway,Under Construction,Dawn,20.5937,78.9629,Morning
Thrissur,18-30,Medium Risk,Changing lane to the left,Truck,Rainy,Urban Road,Normal,Daylight,20.5937,78.9629,Evening
Thrissur,18-30,High Risk,No distancing,Pedestrian,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Morning
Tiruchirapalli,18-30,High Risk,No priority to pedestrian,Auto-Rickshaw,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Tiruchirapalli,31-50,High Risk,Driving carelessly,Cycle,Clear,Urban Road,Damaged,Dusk,20.5937,78.9629,Night
Tiruchirapalli,18-30,High Risk,No distancing,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Morning
Tiruchirapalli,18-30,Low Risk,Driving carelessly,Two-Wheeler,Clear,Village Road,Damaged,Dark,20.5937,78.9629,Afternoon
Kanpur,18-30,Low Risk,Driving carelessly,Truck,Hazy,Highways,Normal,Dark,26.4499,80.3319,Night
Tiruchirapalli,18-30,Medium Risk,Moving Backward,Two-Wheeler,Stormy,Urban Road,Dry,Dawn,20.5937,78.9629,Afternoon
Tiruchirapalli,18-30,Low Risk,Overtaking,Cycle,Clear,State Highway,Under Construction,Daylight,20.5937,78.9629,Night
Tiruchirapalli,31-50,Low Risk,No priority to vehicle,Pedestrian,Rainy,State Highway,Damaged,Dawn,20.5937,78.9629,Afternoon
Tiruchirapalli,31-50,Low Risk,No priority to vehicle,Car,Foggy,State Highway,Under Construction,Dawn,20.5937,78.9629,Morning
Tiruchirapalli,31-50,Low Risk,Moving Backward,Two-Wheeler,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,Overtaking,Auto-Rickshaw,Clear,State Highway,Wet,Daylight,20.5937,78.9629,Afternoon
Tiruchirapalli,18-30,Low Risk,Changing lane to the left,Cycle,Foggy,Village Road,Under Construction,Dusk,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Tiruchirapalli,18-30,Low Risk,Overtaking,Two-Wheeler,Stormy,Urban Road,Damaged,Dusk,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,Overloading,Two-Wheeler,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Tiruchirapalli,18-30,Low Risk,Other,Car,Clear,Village Road,Wet,Dawn,20.5937,78.9629,Evening
Tiruchirapalli,18-30,Low Risk,No priority to vehicle,Pedestrian,Clear,Urban Road,Wet,Dusk,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Dawn,20.5937,78.9629,Morning
Tiruchirapalli,18-30,Low Risk,Moving Backward,Bus,Hazy,Urban Road,Damaged,Dusk,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,Changing lane to the left,Auto-Rickshaw,Rainy,Highways,Normal,Dark,20.5937,78.9629,Evening
Mallapuram,18-30,Low Risk,No priority to pedestrian,Bus,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,No distancing,Two-Wheeler,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,No priority to vehicle,Cycle,Stormy,Urban Road,Dry,Dark,20.5937,78.9629,Evening
Amritsar,18-30,Low Risk,No distancing,Truck,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Varanasi,31-50,Low Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,25.3176,82.9739,Afternoon
Tiruchirapalli,31-50,Low Risk,Moving Backward,Auto-Rickshaw,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Morning
Tiruchirapalli,31-50,Low Risk,Changing lane to the right,Auto-Rickshaw,Clear,State Highway,Normal,Daylight,20.5937,78.9629,Night
Tiruchirapalli,31-50,Low Risk,No priority to pedestrian,Bus,Rainy,State Highway,Dry,Dawn,20.5937,78.9629,Evening
Lucknow,18-30,Low Risk,Moving Backward,Pedestrian,Clear,Highways,Normal,Dusk,26.8467,80.9462,Night
Tiruchirapalli,31-50,High Risk,Getting off the vehicle improperly,Auto-Rickshaw,Rainy,National Highway,Dry,Daylight,20.5937,78.9629,Afternoon
Vadodra,31-50,Medium Risk,Overtaking,Pedestrian,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Vadodra,31-50,High Risk,Overloading,Car,Stormy,Urban Road,Normal,Dawn,20.5937,78.9629,Evening
Coimbatore,18-30,Medium Risk,Changing lane to the right,Car,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Night
Vadodra,18-30,Low Risk,Improper parking,Truck,Stormy,Village Road,Normal,Daylight,20.5937,78.9629,Night
Vadodra,31-50,Low Risk,Other,Cycle,Clear,Village Road,Damaged,Dark,20.5937,78.9629,Afternoon
Vadodra,50+,Low Risk,Changing lane to the left,Car,Rainy,National Highway,Dry,Dark,20.5937,78.9629,Morning
Ahmedabad,18-30,Low Risk,Changing lane to the right,Car,Clear,Highways,Normal,Dusk,23.0225,72.5714,Afternoon
Vadodra,31-50,Low Risk,No priority to pedestrian,Pedestrian,Clear,Village Road,Wet,Dusk,20.5937,78.9629,Morning
Vadodra,18-30,Low Risk,Overspeed,Pedestrian,Stormy,National Highway,Wet,Daylight,20.5937,78.9629,Afternoon
Vadodra,31-50,Low Risk,Changing lane to the left,Two-Wheeler,Clear,State Highway,Damaged,Dawn,20.5937,78.9629,Evening
Vadodra,18-30,Low Risk,No priority to vehicle,Pedestrian,Clear,Village Road,Wet,Dawn,20.5937,78.9629,Afternoon
Vadodra,31-50,Low Risk,Changing lane to the right,Car,Clear,Urban Road,Damaged,Daylight,20.5937,78.9629,Afternoon
Vadodra,31-50,Low Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Coimbatore,31-50,Low Risk,No priority to pedestrian,Pedestrian,Rainy,Highways,Normal,Dawn,20.5937,78.9629,Morning
Vadodra,31-50,Medium Risk,No distancing,Cycle,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Afternoon
Bengaluru,31-50,Medium Risk,No priority to vehicle,Two-Wheeler,Hazy,Highways,Normal,Daylight,12.9716,77.5946,Night
Lucknow,18-30,Low Risk,Other,Car,Clear,Highways,Normal,Dusk,26.8467,80.9462,Night
Vadodra,18-30,Low Risk,Driving carelessly,Truck,Clear,Highways,Normal,Dawn,20.5937,78.9629,Afternoon
Vadodra,18-30,Low Risk,Changing lane to the left,Truck,Stormy,Urban Road,Dry,Dawn,20.5937,78.9629,Afternoon
Dhanbad,18-30,Low Risk,Driving carelessly,Cycle,Stormy,Highways,Normal,Dark,20.5937,78.9629,Night
Vadodra,18-30,Medium Risk,Changing lane to the left,Pedestrian,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Vadodra,18-30,Low Risk,No priority to vehicle,Pedestrian,Foggy,National Highway,Dry,Daylight,20.5937,78.9629,Morning
Vadodra,31-50,Low Risk,No distancing,Auto-Rickshaw,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Night
Vadodra,18-30,Low Risk,Changing lane to the right,Car,Rainy,State Highway,Wet,Dawn,20.5937,78.9629,Night
Vadodra,18-30,Medium Risk,Changing lane to the right,Cycle,Clear,Village Road,Dry,Dark,20.5937,78.9629,Evening
Vadodra,18-30,Medium Risk,Driving at high speed,Truck,Stormy,Highways,Normal,Dawn,20.5937,78.9629,Evening
Vadodra,50+,Medium Risk,No distancing,Car,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Morning
